CensID;Resident
1;120
2;100
3;110
4;150
5;134
6;565
7;531
8;8
9;585
10;340
11;68
12;44
13;125
14;44
15;42
16;0
17;162
18;48
19;114
20;178
21;397
22;51
23;71
24;0
25;108
26;118
27;82
28;62
29;0
30;156
31;0
32;49
33;182
34;800
35;39
36;71
37;73
38;550
39;118
40;24
41;208
42;75
43;16
44;20
45;125
46;123
47;2
48;111
49;60
50;196
51;55
52;48
53;47
54;44
55;23
56;76
57;80
58;79
59;31
60;57
61;35
62;407
63;47
64;92
65;0
66;57
67;51
68;334
69;809
70;833
71;0
72;706
73;71
74;43
75;33
76;63
77;59
78;40
79;288
80;192
81;55
82;54
83;16
84;170
85;30
86;154
87;33
88;67
89;30
90;45
91;43
92;39
93;430
94;27
95;31
96;47
97;4
98;652
99;0
100;174
101;28
102;13
103;17
104;53
105;547
106;59
107;34
108;67
109;49
110;617
111;35
112;64
113;44
114;83
115;162
116;0
117;123
118;175
119;53
120;48
121;237
122;122
123;23
124;204
125;88
126;41
127;27
128;92
129;52
130;56
131;50
132;82
133;18
134;43
135;48
136;51
137;34
138;100
139;55
140;527
141;61
142;365
143;26
144;90
145;0
146;40
147;103
148;55
149;97
150;300
151;72
152;0
153;24
154;83
155;255
156;97
157;98
158;351
159;34
160;64
161;0
162;243
163;102
164;192
165;94
166;21
167;69
168;334
169;47
170;54
171;101
172;88
173;90
174;30
175;70
176;141
177;34
178;84
179;224
180;76
181;711
182;47
183;88
184;15
185;23
186;116
187;12
188;83
189;92
190;34
191;66
192;22
193;0
194;28
195;343
196;202
197;88
198;129
199;106
200;222
201;38
202;339
203;118
204;93
205;62
206;24
207;41
208;565
209;224
210;12
211;0
212;20
213;78
214;72
215;136
216;7
217;1511
218;63
219;7
220;68
221;85
222;77
223;477
224;42
225;20
226;157
227;70
228;78
229;650
230;68
231;83
232;23
233;26
234;46
235;64
236;0
237;25
238;6
239;83
240;50
241;99
242;31
243;2
244;2
245;40
246;30
247;275
248;94
249;80
250;51
251;50
252;253
253;410
254;321
255;61
256;8
257;94
258;35
259;65
260;45
261;156
262;233
263;76
264;0
265;0
266;184
267;21
268;42
269;41
270;37
271;4
272;122
273;0
274;0
275;126
276;49
277;0
278;210
279;134
280;75
281;0
282;129
283;0
284;0
285;7
286;0
287;105
288;52
289;132
290;90
291;66
292;49
293;0
294;97
295;121
296;160
297;0
298;0
299;95
300;67
301;0
302;101
303;105
304;274
305;248
306;96
307;37
308;89
309;56
310;56
311;58
312;96
313;323
314;72
315;73
316;33
317;80
318;116
319;206
320;259
321;33
322;135
323;31
324;191
325;0
326;551
327;254
328;0
329;0
330;96
331;129
332;0
333;94
334;265
335;65
336;28
337;22
338;69
339;19
340;85
341;0
342;33
343;18
344;32
345;0
346;35
347;38
348;8
349;71
350;51
351;0
352;68
353;0
354;110
355;33
356;0
357;0
358;207
359;0
360;58
361;0
362;0
363;69
364;38
365;57
366;40
367;48
368;74
369;43
370;152
371;0
372;48
373;58
374;32
375;45
376;25
377;11
378;26
379;20
380;47
381;28
382;53
383;48
384;76
385;0
386;47
387;72
388;66
389;0
390;0
391;28
392;29
393;0
394;2
395;31
396;87
397;34
398;41
399;30
400;61
401;48
402;85
403;40
404;137
405;65
406;0
407;107
408;66
409;22
410;39
411;27
412;32
413;17
414;0
415;0
416;0
417;0
418;18
419;0
420;0
421;67
422;93
423;26
424;57
425;125
426;39
427;101
428;29
429;103
430;56
431;36
432;0
433;0
434;19
435;88
436;55
437;93
438;0
439;85
440;27
441;0
442;0
443;124
444;181
445;66
446;39
447;13
448;32
449;57
450;1
451;86
452;76
453;64
454;5
455;0
456;21
457;12
458;51
459;9
460;108
461;6
462;0
463;26
464;51
465;43
466;0
467;37
468;24
469;151
470;89
471;34
472;180
473;60
474;0
475;0
476;36
477;0
478;4
479;0
480;21
481;2
482;56
483;27
484;33
485;37
486;0
487;13
488;5
489;0
490;0
491;127
492;23
493;41
494;58
495;121
496;32
497;86
498;60
499;0
